epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,474.946,1.8753,3.55253,1.78799,0.92829,0.06442,0.22105,0.10357,1.86135,3.52885,1.87266,0.000219202,0.000219202,0.000219202
2,927.259,1.85024,2.2178,1.73885,0.75898,0.3332,0.34302,0.15802,2.07299,2.15265,2.00591,0.000354111,0.000354111,0.000354111
3,1379.11,1.83877,1.79457,1.70829,0.71841,0.41495,0.42922,0.20057,1.92938,1.82322,1.9425,0.000400977,0.000400977,0.000400977
4,1842.59,1.74117,1.5978,1.64309,0.58605,0.42848,0.46449,0.22273,1.87243,1.66619,1.86549,0.000270802,0.000270802,0.000270802
5,2306.66,1.71885,1.52402,1.62187,0.70544,0.477,0.49826,0.24278,1.84012,1.61321,1.84009,0.000138736,0.000138736,0.000138736
